iter	Passed	Remaining
0	1	351
1	3	362
2	5	351
3	7	343
4	8	334
5	10	327
6	11	323
7	13	320
8	15	321
9	17	323
10	18	321
11	20	320
12	22	318
13	24	320
14	27	341
15	29	343
16	31	343
17	33	340
18	35	340
19	37	340
20	39	340
21	42	340
22	44	341
23	46	342
24	48	340
25	50	340
26	53	340
27	55	341
28	57	341
29	60	341
30	62	341
31	64	340
32	67	340
33	69	338
34	71	336
35	73	336
36	76	337
37	79	338
38	81	337
39	84	339
40	88	341
41	91	342
42	94	343
43	96	343
44	99	342
45	101	341
46	104	339
47	107	340
48	109	338
49	112	337
50	115	336
51	126	358
52	131	365
53	142	386
54	145	384
55	150	387
56	154	387
57	156	384
58	160	382
59	163	381
60	166	380
61	169	377
62	171	373
63	173	368
64	175	365
65	177	361
66	180	357
67	182	354
68	184	350
69	186	346
70	188	342
71	190	339
72	193	336
73	195	332
74	197	329
75	201	328
76	203	325
77	206	322
78	207	318
79	210	315
80	212	311
81	214	309
82	217	306
83	219	302
84	221	300
85	223	296
86	226	293
87	228	290
88	230	287
89	232	284
90	234	281
91	237	278
92	239	275
93	241	272
94	243	269
95	245	266
96	247	263
97	250	260
98	252	257
99	254	254
100	256	251
101	258	248
102	260	245
103	263	242
104	264	239
105	266	236
106	268	233
107	270	230
108	273	228
109	275	225
110	277	222
111	280	220
112	282	217
113	284	214
114	286	211
115	288	208
116	290	206
117	292	203
118	294	200
119	297	198
120	299	195
121	301	192
122	303	190
123	305	187
124	307	184
125	309	181
126	311	179
127	313	176
128	315	173
129	317	171
130	319	168
131	321	165
132	324	163
133	326	160
134	328	157
135	330	155
136	331	152
137	334	150
138	336	147
139	338	145
140	340	142
141	342	140
142	344	137
143	346	134
144	348	132
145	350	129
146	353	127
147	355	124
148	357	122
149	359	119
150	361	117
151	363	114
152	365	112
153	366	109
154	368	107
155	370	104
156	372	102
157	374	99
158	376	97
159	378	94
160	380	92
161	382	89
162	384	87
163	386	84
164	387	82
165	389	79
166	391	77
167	393	74
168	395	72
169	397	70
170	399	67
171	401	65
172	402	62
173	404	60
174	406	58
175	408	55
176	410	53
177	412	50
178	414	48
179	416	46
180	418	43
181	420	41
182	422	39
183	423	36
184	425	34
185	427	32
186	429	29
187	431	27
188	433	25
189	435	22
190	436	20
191	438	18
192	440	15
193	441	13
194	443	11
195	445	9
196	447	6
197	449	4
198	450	2
199	452	0
